"enumeration_area","month","nightlight","precipitation","maxtemp","mintemp","avgtemp","hunger"
10101215,"2012_04",0.181472511328724,58.03828125,2981.20546875,2893.16640625,2937.18567708333,0
10101215,"2012_05",-0.0638535879758786,97.9934895833333,2981.63958333333,2877.00625,2929.32291666667,0
10101215,"2012_06",-0.0868833911856873,4.09479166666667,2973.74635416667,2858.025,2915.88567708333,0
10101215,"2012_07",-0.0540836228317521,2.71015625,2973.30182291667,2847.45546875,2910.37864583333,0
10101215,"2012_08",0.000942129825826102,0,3001.64348958333,2878.54557291667,2940.09453125,0
10101215,"2012_09",0.0957575230689987,0,3032.02942708333,2897.97578125,2965.00234375,0
10101215,"2012_10",0.0634505206556275,55.94609375,3048.16067708333,2919.39479166667,2983.77760416667,0.176470588235294
10101215,"2012_11",-0.0121996526677524,113.89140625,3030.17057291667,2922.90963541667,2976.54010416667,0.176470588235294
10101215,"2012_12",-0.0248026619471299,139.120052083333,3014.38723958333,2924.49401041667,2969.44036458333,0.235294117647059
10101215,"2013_01",0.0686886574425713,158.9,2989.91119791667,2926.12317708333,2958.0171875,0.411764705882353
10101215,"2013_02",0.140258391256847,198.611458333333,2988.81015625,2918.81015625,2953.81015625,0.529411764705882
10101215,"2013_03",0.139357349458549,316.022916666667,2988.67942708333,2916.00182291667,2952.340625,0.235294117647059
10101215,"2013_04",0.135135416588552,164.790104166667,2997.00625,2898.8484375,2947.92708333333,0
10101215,"2013_05",0.0516397568169783,93.33359375,2991.07291666667,2885.6515625,2938.36197916667,0
10101215,"2013_06",0.00938946757146537,0.473177083333333,2978.08307291667,2855.73671875,2916.90989583333,0
10101215,"2013_07",-0.0976385992913963,24.8734375,2975.95078125,2850.44973958333,2913.20026041667,0
10101215,"2013_08",0.0307037036150211,0.688802083333333,2995.821875,2871.29895833333,2933.55963541667,0
10101215,"2013_09",0.0167340857519001,0,3035.16692708333,2896.15078125,2965.65885416667,0
10101215,"2013_10",0.0956874998520275,50.9721354166667,3040.07838541667,2914.74453125,2977.41145833333,0
10101562,"2012_04",0.200739800365591,54.412890625,2982.14013671875,2894.15478515625,2938.14736328125,0
10101562,"2012_05",-0.0569197046900323,92.95615234375,2982.58173828125,2877.98330078125,2930.28251953125,0
10101562,"2012_06",-0.084554795882751,3.90185546875,2974.6443359375,2859.0013671875,2916.8228515625,0
10101562,"2012_07",-0.0462995876325901,2.54716796875,2974.14931640625,2848.42490234375,2911.2869140625,0
10101562,"2012_08",0.0126049265916663,0,3002.54267578125,2879.50712890625,2941.02490234375,0
10101562,"2012_09",0.10768760855606,0,3032.908203125,2898.9943359375,2965.95126953125,0
10101562,"2012_10",0.116342339535165,54.75751953125,3049.07041015625,2920.49326171875,2984.7818359375,0.0454545454545455
10101562,"2012_11",-0.00886273856309951,110.9638671875,3031.11845703125,2923.95908203125,2977.53876953125,0
10101562,"2012_12",-0.0193710936078585,136.22490234375,3015.47685546875,2925.32900390625,2970.4029296875,0
10101562,"2013_01",0.108852756105928,163.41474609375,2990.82880859375,2926.99560546875,2958.91220703125,0.272727272727273
10101562,"2013_02",0.118897135492342,180.49306640625,2989.62548828125,2919.81474609375,2954.719921875,0.318181818181818
10101562,"2013_03",0.173209961018074,302.5833984375,2989.651171875,2916.94775390625,2953.29921875,0.136363636363636
10101562,"2013_04",0.137842556464097,155.796875,2997.990234375,2899.88828125,2948.9392578125,0.0454545454545455
10101562,"2013_05",0.0679202472762982,86.86533203125,2992.01044921875,2886.62529296875,2939.31787109375,0
10101562,"2013_06",0.0236481120305244,0.38759765625,2978.9767578125,2856.7169921875,2917.8466796875,0
10101562,"2013_07",-0.0774946830211774,23.0357421875,2976.7947265625,2851.38818359375,2914.09140625,0
10101562,"2013_08",0.0345145398660356,0.64521484375,2996.67451171875,2872.28193359375,2934.47802734375,0.0454545454545455
10101562,"2013_09",0.0485812716005967,0,3036.09599609375,2897.24462890625,2966.6701171875,0.0454545454545455
10101562,"2013_10",0.119584852373474,49.09619140625,3041.06279296875,2915.82900390625,2978.445703125,0
10102004,"2012_04",0.109999999300473,51.875,2969.54166666667,2877.375,2923.45833333333,0
10102004,"2012_05",-0.0987037040069009,82.4583333333333,2972.16666666667,2860.16666666667,2916.16666666667,0
10102004,"2012_06",-0.106319443512432,1.91666666666667,2965.16666666667,2841.16666666667,2903.16666666667,0
10102004,"2012_07",-0.075532407430863,1,2964.5,2830.5,2897.5,0
10102004,"2012_08",-0.0185879627199568,0,2992.54166666667,2862.54166666667,2927.54166666667,0
10102004,"2012_09",0.12627314824473,0,3023.58333333333,2883.58333333333,2953.58333333333,0
10102004,"2012_10",0.0290046294383636,54.0416666666667,3039.20833333333,2907.20833333333,2973.20833333333,0.1875
10102004,"2012_11",-0.0196759259949128,80.5416666666667,3022.20833333333,2910.20833333333,2966.20833333333,0.25
10102004,"2012_12",-0.0869675926062174,134.958333333333,3001.08333333333,2911.08333333333,2956.08333333333,0.3125
10102004,"2013_01",0.0851620372074345,150.5,2973.66666666667,2911.66666666667,2942.66666666667,0.5
10102004,"2013_02",0.132962963043677,246.25,2973.41666666667,2903.41666666667,2938.41666666667,0.5625
10102004,"2013_03",0.221851852515505,273.291666666667,2978.20833333333,2900.20833333333,2939.20833333333,0.25
10102004,"2013_04",0.12215277807856,111.916666666667,2988.375,2882.375,2935.375,0.0625
10102004,"2013_05",-0.0031944445239518,53.5416666666667,2983.04166666667,2871.04166666667,2927.04166666667,0
10102004,"2013_06",-0.00291666664459087,0,2968.54166666667,2838.54166666667,2903.54166666667,0
